---------참조 스트링---------
 14 17 28 26 24 26 17 13 10  2  3  8 21 20 24 17  1  7 23 17 12  9 28 10  3 21  3 14  8 26 30 13 13 19 30 28 14 17  2 23 10  4 22 30 15  8  9 15  6  1 24 17  2 21 27  4  3 21 17  2 16 16 15 28 27  6 17 10 14 18 25 16 13 16 15 28 15 15  4 21  8 19  7  9  9 25  4 12 15 20 13  1 27 19 20 23 17  7 25 30 16 11 15 29 18 22 18  3 28 13 23 27  2 21 27  2 16 30  5 30 11 10 22  8 28 12 22  6 10  8 28 17 18  4  7  6 17 24 30 15 29 22  3 30  4 30  1 19 29  6 11 10  7 24  9 26 27 22  2  6 30 29 15  9  2 21 14 11 15  5 25  5 18 27  4 22 18 26 10 17 23 12 18 29  6 18 25  2  9 26 30  8 16 14  9  9  4 22 19 10 27  5 14 14 24  9 27 11  5 29 19 19 10 28 18  7 15  4  1 24 21 30 23  6  5  1  6 30 15 17 10  3 13 15  8 28 16  5  9 12  3 19 30  4 17  9 11 23 12 11 16  2  2  1 29  6  1 27  5  7 13  6  9 17 13  9 15 28 13 15  1  7  3 30 10 11  9 12  4 12 22 11 14 15 11  4 20 12 30 17 10  4 14 19 21 26 27 27 15  1 11 15  7 13  7  8 16  7 20 19 18  3 29 23 10 10 27 21 13 18  7 22 14 13  2 26 30 20 22 15 20  2 21 18  6 19 18 21 25 29  1  5 23 30 27  2  1 15 23 13  3 21 26 16  3 20 11  3  9 24  9 21 25 21 30 22 10 17 13 26 15  5 30 30  4 27  1 26 11 23 30  5 14 26 12  8 15 14  2 15  7 10  5 23 23 27 15  2 13 19 19 20 23 19 19 19  7 19 14  9  4 14 14  9  1 25  8  7  9 10 21  7 19 18 30 11 14 14  4 18 24 23  7 16  3 17 26  9 28 10 17  1 15 22  1 15  9  8 21  9 17  3 15 28 20 14 30  3 19  4 21 12 18 19 20 12  6 15 20  3 16 28 25 30 20 25  6 20 24 26 28 11 29 12 30 10 18 29 13  6 24 25 10 11 13 21 22 10 27  3

선택하신 메뉴는  4번입니다!!
-----------------------------------------
 (4). LRU 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    14	         14	         -1	         -1		PAGE FAULT
    17	         14	         17	         -1		PAGE FAULT
    28	         14	         17	         28		PAGE FAULT
    26	         17	         28	         26		PAGE FAULT
    24	         28	         26	         24		PAGE FAULT
    26	         28	         24	         26		          
    17	         24	         26	         17		PAGE FAULT
    13	         26	         17	         13		PAGE FAULT
    10	         17	         13	         10		PAGE FAULT
    2	         13	         10	          2		PAGE FAULT
    3	         10	          2	          3		PAGE FAULT
    8	          2	          3	          8		PAGE FAULT
    21	          3	          8	         21		PAGE FAULT
    20	          8	         21	         20		PAGE FAULT
    24	         21	         20	         24		PAGE FAULT
    17	         20	         24	         17		PAGE FAULT
    1	         24	         17	          1		PAGE FAULT
    7	         17	          1	          7		PAGE FAULT
    23	          1	          7	         23		PAGE FAULT
    17	          7	         23	         17		PAGE FAULT
    12	         23	         17	         12		PAGE FAULT
    9	         17	         12	          9		PAGE FAULT
    28	         12	          9	         28		PAGE FAULT
    10	          9	         28	         10		PAGE FAULT
    3	         28	         10	          3		PAGE FAULT
    21	         10	          3	         21		PAGE FAULT
    3	         10	         21	          3		          
    14	         21	          3	         14		PAGE FAULT
    8	          3	         14	          8		PAGE FAULT
    26	         14	          8	         26		PAGE FAULT
    30	          8	         26	         30		PAGE FAULT
    13	         26	         30	         13		PAGE FAULT
    13	         26	         30	         13		          
    19	         30	         13	         19		PAGE FAULT
    30	         13	         19	         30		          
    28	         19	         30	         28		PAGE FAULT
    14	         30	         28	         14		PAGE FAULT
    17	         28	         14	         17		PAGE FAULT
    2	         14	         17	          2		PAGE FAULT
    23	         17	          2	         23		PAGE FAULT
    10	          2	         23	         10		PAGE FAULT
    4	         23	         10	          4		PAGE FAULT
    22	         10	          4	         22		PAGE FAULT
    30	          4	         22	         30		PAGE FAULT
    15	         22	         30	         15		PAGE FAULT
    8	         30	         15	          8		PAGE FAULT
    9	         15	          8	          9		PAGE FAULT
    15	          8	          9	         15		          
    6	          9	         15	          6		PAGE FAULT
    1	         15	          6	          1		PAGE FAULT
    24	          6	          1	         24		PAGE FAULT
    17	          1	         24	         17		PAGE FAULT
    2	         24	         17	          2		PAGE FAULT
    21	         17	          2	         21		PAGE FAULT
    27	          2	         21	         27		PAGE FAULT
    4	         21	         27	          4		PAGE FAULT
    3	         27	          4	          3		PAGE FAULT
    21	          4	          3	         21		PAGE FAULT
    17	          3	         21	         17		PAGE FAULT
    2	         21	         17	          2		PAGE FAULT
    16	         17	          2	         16		PAGE FAULT
    16	         17	          2	         16		          
    15	          2	         16	         15		PAGE FAULT
    28	         16	         15	         28		PAGE FAULT
    27	         15	         28	         27		PAGE FAULT
    6	         28	         27	          6		PAGE FAULT
    17	         27	          6	         17		PAGE FAULT
    10	          6	         17	         10		PAGE FAULT
    14	         17	         10	         14		PAGE FAULT
    18	         10	         14	         18		PAGE FAULT
    25	         14	         18	         25		PAGE FAULT
    16	         18	         25	         16		PAGE FAULT
    13	         25	         16	         13		PAGE FAULT
    16	         25	         13	         16		          
    15	         13	         16	         15		PAGE FAULT
    28	         16	         15	         28		PAGE FAULT
    15	         16	         28	         15		          
    15	         16	         28	         15		          
    4	         28	         15	          4		PAGE FAULT
    21	         15	          4	         21		PAGE FAULT
    8	          4	         21	          8		PAGE FAULT
    19	         21	          8	         19		PAGE FAULT
    7	          8	         19	          7		PAGE FAULT
    9	         19	          7	          9		PAGE FAULT
    9	         19	          7	          9		          
    25	          7	          9	         25		PAGE FAULT
    4	          9	         25	          4		PAGE FAULT
    12	         25	          4	         12		PAGE FAULT
